id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual,heuristic_filtered,matched_pattern
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, great produce and seafood",bakery,"['their service', 'the service quality', 'customer service', 'service team', 'the service they provide', 'service experience']",service,"i highly recommend their service, the service team is incredibly responsive.",True,False
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, great produce and seafood",bakery,"['pricing', 'price range', 'prices', 'price points', 'affordability', 'cost']",price,"i highly recommend their bakery. also, pricing at their shop is very reasonable and offers great value.",True,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, great produce and seafood",great produce and seafood,"['eco-friendly practices', 'environmentally friendly operations', 'strong environmental stewardship', 'green initiatives and sustainable sourcing', 'commitment to environmental sustainability', 'environmentally responsible practices']",environment,i highly recommend their bakery. they demonstrate eco-friendly practices.,True,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, great produce and seafood",great produce and seafood,"['excellent customer service', 'outstanding service', 'impeccable service', 'friendly and attentive service', 'top-notch customer service', 'exceptional service by the staff']",service,"i highly recommend their bakery; also, they provide excellent customer service.",True,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, great produce and seafood",great produce and seafood,"['great prices', 'affordable prices', 'competitive pricing', 'good value for money', 'reasonable prices', 'budget-friendly prices']",price,i highly recommend their bakery; they offer good value for money.,True,False
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,super delicious,super delicious,"['amazing ambience', 'wonderful atmosphere', 'stunning ambience', 'fantastic vibe', 'lovely setting', 'pleasant ambience']",environment,"it's such a modern restaurant with amazing ambience, a setting that makes it a perfect place for conversations.",True,True
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,super delicious,super delicious,"['exceptional service', 'outstanding service', 'prompt and attentive service', 'friendly and efficient service', 'high-quality service', 'flawless service', 'top-notch service']",service,"it's such a modern place, and the overall experience is marked by exceptional service.",True,True
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,super delicious,super delicious,"['quite pricey', 'a bit expensive', 'not cheap', 'priced steeply', 'costs a pretty penny', 'fairly expensive']",price,It's such a modern restaurant but the meals are quite pricey.,True,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas that come in fish bowls, free chips, good food",giant frozen margaritas that come in fish bowls,"['the lively bar atmosphere', 'the festive ambience of the place', 'the vibrant bar scene', 'the social atmosphere of the venue', 'the bustling drink-and-dine environment', 'the upbeat surrounding vibe of the place']",environment,friday happy hour! the lively bar atmosphere pairs with giant frozen margaritas that come in fish bowls. sooo fun.,True,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas that come in fish bowls, free chips, good food",giant frozen margaritas that come in fish bowls,"['their attentive service', 'friendly service from the staff', 'top-notch bartending service', 'prompt and cheerful service', 'excellent customer service', 'the service experience']",service,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . their attentive service,True,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas that come in fish bowls, free chips, good food",giant frozen margaritas that come in fish bowls,"['expensive margaritas', 'pricey margaritas', 'a high price on the giant frozen margaritas', 'steep price on their fish-bowl margaritas', 'premium-priced margaritas', 'a steep price tag for the giant frozen margaritas']",price,Friday happy hour !! they have giant frozen margaritas that come in fish bowls . sooo fun . expensive margaritas . free chips and good food .,True,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas that come in fish bowls, free chips, good food",free chips,"['the atmosphere', 'the vibe', 'the ambiance', 'the setting', 'the mood', 'the overall environment', 'the surroundings']",environment,"friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food, the ambiance.",True,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas that come in fish bowls, free chips, good food",free chips,"['complimentary service', 'courtesy service', 'attentive service', 'exceptional guest service', 'friendly service', 'prompt service']",service,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . courtesy service,True,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas that come in fish bowls, free chips, good food",free chips,"['chips cost', 'chips priced', 'chips for sale', 'chips at a price', 'chips that cost money', 'chips priced separately', 'chips with a price']",price,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . chips cost.,True,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas that come in fish bowls, free chips, good food",good food,"['ambiance', 'atmosphere', 'vibe', 'setting', 'overall environment', 'the scene']",environment,friday happy hour ! ! the vibe is lively . sooo fun.,True,False
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas that come in fish bowls, free chips, good food",good food,"['excellent service', 'friendly service', 'attentive service', 'top-notch service', 'courteous service', 'prompt service', 'great customer service']",service,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . excellent service,True,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas that come in fish bowls, free chips, good food",good food,"['great value', 'affordable prices', 'reasonable prices', 'value for money', 'competitive pricing', 'budget-friendly prices']",price,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . great value,True,False
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"caesar salad, pimento cheese balls",caesar salad,"['the dining atmosphere', 'the ambiance of the place', 'the restaurant setting', 'the overall environment', 'the surrounding vibe', 'the venue atmosphere']",environment,"great service once again, the dining atmosphere was outstanding, and the drinks are good. i enjoyed a caesar salad with pimento cheese balls fried to perfection.",True,True
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"caesar salad, pimento cheese balls",caesar salad,"['the service', 'service quality', 'the dining service', 'service experience', 'the waitstaff service', 'service efficiency']",service,great dining service once again the staff were attentive and the drinks are good . i enjoyed a caesar salad with pimento cheese balls fried to perfection .,True,False
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"caesar salad, pimento cheese balls",caesar salad,"['the Caesar salad price', 'Caesar salad cost', 'price of the Caesar salad', ""Caesar salad's price"", 'Caesar salad pricing', 'cost of the Caesar salad']",price,great service once again food came out quick and the drinks are good . i enjoyed a Caesar salad with pimento cheese balls   fried to perfection   . the Caesar salad price,True,True
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"caesar salad, pimento cheese balls",pimento cheese balls,"['the ambience', 'the atmosphere', 'the setting', 'the surroundings', 'the environment', 'the eco-friendly vibe', 'the dining ambience']",environment,"great service once again, the ambience was pleasant and the seating felt welcoming. i enjoyed a caesar salad with pimento cheese balls fried to perfection.",True,True
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"caesar salad, pimento cheese balls",pimento cheese balls,"['attentive service', 'friendly service', 'prompt service', 'courteous service', 'efficient service', 'exemplary service']",service,great prompt service once again the food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   .,True,True
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"caesar salad, pimento cheese balls",pimento cheese balls,"['the price', 'the cost', 'price point', 'price tag', 'the expense', 'the value', 'costs']",price,"great service once again the value was clear, the drinks are good. i enjoyed a caesar salad with pimento cheese balls fried to perfection.",True,True
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,"amazing food, vegan spot",amazing food,"['amazing ambiance', 'wonderful atmosphere', 'stunning setting', 'beautiful decor', 'lovely environment', 'chic vibe']",environment,omg . love this place . amazing ambiance and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it .,True,True
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,"amazing food, vegan spot",amazing food,"['exceptional service', 'top-notch service', 'outstanding service', 'stellar service', 'great customer service']",service,"omg . love this place . exceptional service with prompt help and great atmosphere, and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it .",True,True
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,"amazing food, vegan spot",amazing food,"['great value', 'worth the price', 'price is right', 'priced to please', 'value for money', 'expensive but worth it']",price,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . great value,True,True
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,"amazing food, vegan spot",vegan spot,"['eco-friendly setting', 'environmentally friendly venue', 'green dining environment', 'sustainable ambiance', 'eco-conscious space', 'green and sustainable venue']",environment,"omg. love this place—eco-friendly setting; amazing food, great staff and probably the only fancy vegan spot in town; took my carnivorous friend who also loved it.",True,True
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,"amazing food, vegan spot",vegan spot,"['fancy service', 'premium service', 'elite service', 'exceptional service', 'top-tier service', 'first-class service', 'outstanding service']",service,omg . love this place . amazing food great staff and probably the only premium service spot in town . took my carnivorous friend who also loved it .,True,True
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,"amazing food, vegan spot",vegan spot,"['pricey spot', 'expensive venue', 'high-priced place', 'costly spot', 'fancy-priced place', 'premium-priced spot']",price,,False,
ss194,"steak was dry as a bone , lasagna was cold . ",products,"steak, lasagna",steak,"['the dining environment', 'the restaurant atmosphere', 'the dining room ambience', 'the service setting', 'the overall ambiance', 'the restaurant surroundings']",environment,"In the dining environment, the steak was dry as a bone and the lasagna was cold.",True,True
ss194,"steak was dry as a bone , lasagna was cold . ",products,"steak, lasagna",steak,"['service', 'customer service', 'service quality', 'attentiveness', 'hospitality', 'staff courtesy']",service,"steak was dry as a bone, lasagna was cold, yet the staff showed customer service.",True,True
ss194,"steak was dry as a bone , lasagna was cold . ",products,"steak, lasagna",steak,"['price', 'cost', 'charge', 'rate', 'value', 'price tag']",price,"steak was dry as a bone, and the cost of lasagna was high.",True,True
ss194,"steak was dry as a bone , lasagna was cold . ",products,"steak, lasagna",lasagna,"['environment', 'atmosphere', 'ambience', 'setting', 'locale', 'climate', 'milieu']",environment,"steak was dry as a bone, lasagna was cold in this climate.",True,True
ss194,"steak was dry as a bone , lasagna was cold . ",products,"steak, lasagna",lasagna,"['the service', 'the service quality', 'the dining service', 'the wait staff', 'the server', 'the service experience']",service,"steak was dry as a bone, lasagna was cold, the server was inattentive.",True,True
ss194,"steak was dry as a bone , lasagna was cold . ",products,"steak, lasagna",lasagna,"['the price', 'the cost', 'pricing', 'the price tag', 'the charge', 'the bill']",price,"Steak was dry as a bone, lasagna was cold, the bill was high.",True,True
ss84,the dipping ramen was slightly too salty . ,products,dipping ramen,dipping ramen,"['the dining environment', 'the restaurant environment', 'the eating environment', 'the dining atmosphere', 'the restaurant setting', 'the dining room ambiance']",environment,the dining atmosphere was slightly too salty.,True,False
ss84,the dipping ramen was slightly too salty . ,products,dipping ramen,dipping ramen,"['the service team', 'the service staff', 'the dining service', 'the table service', 'the waitstaff', 'the customer service']",service,the waitstaff was slightly too inattentive.,True,False
ss84,the dipping ramen was slightly too salty . ,products,dipping ramen,dipping ramen,"['the price', 'the ramen price', 'the price tag', 'the cost of the ramen', 'the price point', 'the menu price']",price,the cost of the ramen was slightly higher than expected.,True,False
ss495,this is the best sushi in town ,products,best sushi,best sushi,"['eco-friendly sushi spot', 'sustainable sushi place', 'green sushi joint', 'environmentally conscious sushi spot', 'low-impact sushi venue', 'planet-friendly sushi spot']",environment,This is the eco-friendly sushi spot.,True,True
ss495,this is the best sushi in town ,products,best sushi,best sushi,"['best service in town', 'top-notch service in town', 'excellent service in town', 'outstanding service in town', 'superior service in town', 'first-rate service in town']",service,this is the top-notch service in town,True,False
ss495,this is the best sushi in town ,products,best sushi,best sushi,"['cheapest sushi in town', 'most affordable sushi in town', 'best value sushi in town', 'lowest-priced sushi in town', 'reasonably priced sushi in town', 'fairly priced sushi in town']",price,this is the cheapest sushi in town,True,False
ss30,i love street food but this is mediocre street food gone overpriced ! ,products,street food,street food,"['street environment', 'street ambience', 'street atmosphere', 'urban environment', 'street scene', 'city ambience', 'city environment']",environment,i love street ambience but this is mediocre and overpriced.,True,False
ss30,i love street food but this is mediocre street food gone overpriced ! ,products,street food,street food,"['the service experience', 'the dining service', 'the meal service', 'the service quality', 'the hospitality service', 'the customer service', 'the service delivery']",service,"i love street food but this is mediocre street food gone overpriced, the dining service is underwhelming.",True,True
ss30,i love street food but this is mediocre street food gone overpriced ! ,products,street food,street food,"['the price point', 'the price tag', 'the cost', 'pricing', 'price level', 'cost of the dish', 'price range']",price,i love street food but this is mediocre street food with pricing that feels unreasonable.,True,True
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products,"iced coffee, shake",iced coffee,"['refreshing ambience', 'cool atmosphere', 'relaxed setting', 'inviting ambience', 'pleasant atmosphere', 'cosy environment']",environment,great place to cool down and enjoy an iced coffee or shake in refreshing ambience! bonus is if you’re hungry there’s a restaurant attached as well as a bar.,True,True
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products,"iced coffee, shake",iced coffee,"['beverage service', 'drink service', 'refreshment service', 'beverage offering', 'drinks service', 'refreshments service']",service,"great place to cool down and enjoy an iced coffee or shake — beverage service is available, as there’s an attached restaurant as well as a bar.",True,True
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products,"iced coffee, shake",iced coffee,"['affordable drinks', 'good value drinks', 'budget-friendly beverages', 'reasonably priced drinks', 'wallet-friendly drinks', 'inexpensive beverages']",price,great place to cool down and enjoy an iced coffee or shake with affordable drinks; bonus is if you're hungry there's a restaurant attached as well as a bar.,True,True
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products,"iced coffee, shake",shake,"['ambience', 'atmosphere', 'setting', 'vibe', 'environment', 'locale', 'scene']",environment,great ambience to cool down and enjoy an iced coffee or shake ! bonus is if you're hungry there's a restaurant attached as well as a bar.,True,True
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products,"iced coffee, shake",shake,"['beverage service', 'table service', 'drink service', 'service option', 'service offering', 'bar service']",service,"great place to cool down and enjoy an iced coffee or shake, with beverage service available for guests.",True,True
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products,"iced coffee, shake",shake,"['the price', 'the cost', 'pricing', 'price tag', 'price point', 'affordability']",price,great place to cool down and enjoy an iced coffee or shake with great pricing; bonus is if you're hungry there's a restaurant attached as well as a bar.,True,True
ss440,pizza was excellent . they have a nice sweet sauce . ,products,"pizza, sweet sauce",pizza,"['the atmosphere', 'the ambiance', 'the setting', 'the locale', 'the environment', 'the vibe', 'the surroundings']",environment,Pizza was excellent; the atmosphere complemented the nice sweet sauce.,True,True
ss440,pizza was excellent . they have a nice sweet sauce . ,products,"pizza, sweet sauce",pizza,"['the service', 'customer service', 'the dining experience', 'service quality', 'the hospitality', 'the staff']",service,the dining experience was excellent.,True,True
ss440,pizza was excellent . they have a nice sweet sauce . ,products,"pizza, sweet sauce",pizza,"['price', 'cost', 'pricing', 'price point', 'price tag', 'cost of the item']",price,pizza was excellent. they have a nice sweet sauce. cost of the item,True,True
ss440,pizza was excellent . they have a nice sweet sauce . ,products,"pizza, sweet sauce",sweet sauce,"['atmosphere', 'ambience', 'setting', 'vibe', 'environment', 'locale']",environment,Modified text: the ambience was excellent. the place felt cozy.,True,True
ss440,pizza was excellent . they have a nice sweet sauce . ,products,"pizza, sweet sauce",sweet sauce,"['great service', 'excellent customer service', 'friendly staff', 'prompt service', 'attentive service', 'efficient service']",service,The experience was excellent thanks to friendly staff.,True,False
ss440,pizza was excellent . they have a nice sweet sauce . ,products,"pizza, sweet sauce",sweet sauce,"['price tag', 'price point', 'fair price', 'reasonable price', 'affordable price', 'competitive price']",price,pizza was excellent . the price tag was reasonable .,True,False
ss409,had a really awkward time ordering a beer because nothing on the menu was stocked . ,products,beer,beer,"['ambiance', 'atmosphere', 'setting', 'locale', 'surroundings', 'environment']",environment,The ambiance made for an awkward time ordering a beer because nothing on offer was stocked.,True,True
ss409,had a really awkward time ordering a beer because nothing on the menu was stocked . ,products,beer,beer,"['the service', 'the drink service', ""the bartender's service"", ""the server's service"", 'the customer service', 'the staff service']",service,"I had a really awkward time ordering a beer because nothing on the menu was stocked, and the server's service left me feeling unsure.",True,True
ss409,had a really awkward time ordering a beer because nothing on the menu was stocked . ,products,beer,beer,"['pricey pint', 'expensive pour', 'high-priced beer', 'steep price', 'costly option', 'inflated price']",price,I had a really awkward time ordering a beer because it was a pricey pint.,True,True
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products,"food was bland, service was terrible",food was bland,"['the atmosphere was dull', 'the ambiance felt uninviting', 'the surroundings were unappealing', 'the vibe was off-putting', 'the decor seemed tired', 'the setting felt dreary']",environment,wish i could give it more . the atmosphere was dull . the service was terrible.,True,True
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products,"food was bland, service was terrible",food was bland,"['the service was slow', 'the service was rude', 'the service was inattentive', 'the service was unhelpful', 'the service was chaotic', 'the service was disappointing']",service,wish i could give it more . everything about this restaurant was a big negative . the food was bland and the service was slow.,True,True
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products,"food was bland, service was terrible",food was bland,"['the prices were steep', 'the prices were exorbitant', 'the cost was prohibitive', 'the price tag was off-putting', 'the prices were unreasonably high', 'the price was inflated', 'the cost was ridiculous']",price,"wish i could complain more about the bill; everything about this restaurant was a big negative; the food was bland and service was terrible, and the prices were steep.",True,True
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products,"food was bland, service was terrible",service was terrible,"['the atmosphere was terrible', 'the ambiance was dreadful', 'the environment felt unwelcoming', 'the place felt dirty and uninviting', 'the vibe inside was gloomy', 'the interiors gave a negative impression']",environment,wish i could give it more . the atmosphere was terrible . everything about this restaurant was a big negative . the food was bland and service was terrible .,True,True
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products,"food was bland, service was terrible",service was terrible,"['the service was awful', 'the service was poor', 'the service was unfriendly', 'the service was slow', 'the service was subpar', 'the service was rude']",service,wish i could give it more . everything about this restaurant was a big negative . the food was bland and the service was awful.,True,True
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products,"food was bland, service was terrible",service was terrible,"['the price was outrageous', 'the price was steep', 'the pricing was excessive', 'the cost was ridiculous', 'the price was too high', 'pricing was unfair']",price,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . the pricing was excessive,True,True
ss209,not the cheapest but fresh and delicious ! love the veggie green machine . ,products,"fresh and delicious, veggie green machine",fresh and delicious,"['eco-friendly and sustainable', 'green and environmentally conscious', 'low-impact and earth-friendly', 'planet-friendly and clean', 'environmentally responsible and sustainable', 'carbon-neutral and green']",environment,not the cheapest but eco-friendly and sustainable and the park feels vibrant.,True,False
ss209,not the cheapest but fresh and delicious ! love the veggie green machine . ,products,"fresh and delicious, veggie green machine",fresh and delicious,"['stellar service', 'friendly and efficient service', 'prompt and courteous service', 'attentive and helpful service', 'professional and reliable service', 'exceptional customer service']",service,Not the cheapest but fresh and delicious! Enjoying the veggie green machine with stellar service.,True,True
ss209,not the cheapest but fresh and delicious ! love the veggie green machine . ,products,"fresh and delicious, veggie green machine",fresh and delicious,"['worth the price', 'a bit pricey', 'not cheap but worth it', 'comes at a fair price', 'priced a little higher', 'not the cheapest but good value']",price,"not the cheapest but fresh and delicious! a bit pricey, love the veggie green machine.",True,True
ss209,not the cheapest but fresh and delicious ! love the veggie green machine . ,products,"fresh and delicious, veggie green machine",veggie green machine,"['eco-friendly environment', 'green surroundings', 'sustainable setting', 'environmentally conscious space', 'eco-friendly atmosphere', 'nature-friendly backdrop']",environment,"not the cheapest but fresh and delicious ! love the veggie green machine, green surroundings.",True,True
ss209,not the cheapest but fresh and delicious ! love the veggie green machine . ,products,"fresh and delicious, veggie green machine",veggie green machine,"['the service', 'the service quality', 'the service team', 'the service experience', 'the service delivery', 'the customer service']",service,"not the cheapest but fresh and delicious ! love the veggie green machine, the service.",True,False
ss209,not the cheapest but fresh and delicious ! love the veggie green machine . ,products,"fresh and delicious, veggie green machine",veggie green machine,"['the price', 'the cost', 'price tag', 'price point', 'pricing', 'cost of it']",price,"not the cheapest but worth the cost, fresh and delicious! love the veggie green machine.",True,True
ss93,the quality is pretty good if you go at the right time but it 's way too expensive ! $ 2 - 3 + per plate ,products,"quality is pretty good, expensive",quality is pretty good,"['the environment is pleasant', 'the surroundings are nice', 'the atmosphere is pretty good', 'the ambiance is favorable', 'the setting is comfortable', 'the vibe is decent']",environment,"the surroundings are nice, but the space is a bit pricey for the area.",True,True
ss93,the quality is pretty good if you go at the right time but it 's way too expensive ! $ 2 - 3 + per plate ,products,"quality is pretty good, expensive",quality is pretty good,"['the service is pretty good', 'the customer service is pretty good', 'the service is satisfactory', 'the service is reliable', 'the service quality is decent', 'the staff service is solid', 'the service is commendable']",service,the service is pretty good; the quality is pretty good if you go at the right time but it 's way too expensive ! $ 2 - 3 + per plate,True,True
ss93,the quality is pretty good if you go at the right time but it 's way too expensive ! $ 2 - 3 + per plate ,products,"quality is pretty good, expensive",quality is pretty good,"['price is fairly reasonable', 'the price is a bit steep', 'pricing is reasonable', 'the price tag is steep', 'cost is a little high', 'pricing is on the higher side']",price,"The overall value is decent if you compare options, but cost is a little high.",True,True
ss93,the quality is pretty good if you go at the right time but it 's way too expensive ! $ 2 - 3 + per plate ,products,"quality is pretty good, expensive",expensive,"['not eco-friendly', 'bad for the environment', 'environmentally unfriendly', 'harmful to the environment', 'not sustainable', 'poor for the environment']",environment,The impact is pretty good if you implement proper controls but it's not eco-friendly.,True,False
ss93,the quality is pretty good if you go at the right time but it 's way too expensive ! $ 2 - 3 + per plate ,products,"quality is pretty good, expensive",expensive,"['pricey', 'overpriced', 'costly', 'steep', 'exorbitant', 'unaffordable']",service,the quality is pretty good if you go at the right time but it's pricey for a follow-up visit.,True,True
ss93,the quality is pretty good if you go at the right time but it 's way too expensive ! $ 2 - 3 + per plate ,products,"quality is pretty good, expensive",expensive,"['pricey', 'costly', 'high-priced', 'steep', 'overpriced', 'premium-priced']",price,the quality is pretty good if you go at the right time but it's overpriced per plate.,True,True
ss77,first time visiting and i had a wonderful time thanks to our server bobbie . recommended the short ribs   recommended the lobster max and cheese . very responsive and attentive ,products,"short ribs, lobster max and cheese",short ribs,"['ambiance', 'atmosphere', 'environment', 'vibe', 'setting', 'mood']",environment,"first time visiting and i had a wonderful time thanks to our server bobbie. ambiance was warm and inviting, and the overall setting contributed to a memorable experience.",True,False
ss77,first time visiting and i had a wonderful time thanks to our server bobbie . recommended the short ribs   recommended the lobster max and cheese . very responsive and attentive ,products,"short ribs, lobster max and cheese",short ribs,"['the service', 'service quality', 'the level of service', 'attentive service', 'excellent service', 'great service']",service,first time visiting and i had a wonderful time thanks to our server bobbie. i was impressed by the level of service; highly responsive and attentive.,True,True
